Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2450,0,64,85.00707740775925,6.710059999022633,1066.1948929991922,10276.317959183674,2.722389433734827,0.0,64,88,100,120,160,190,380,700,1000,1100,1100
GET,/cart,6439,0,52,74.28740617999925,3.9130479999585077,1167.693216999396,13975.517937567945,7.1548839035994085,0.0,52,77,92,100,160,190,400,600,1000,1200,1200
POST,/cart,6289,0,93,83.83540427682043,5.9917269991274225,2001.8754949996946,18104.172841469233,6.988206999493195,0.0,93,97,99,100,190,200,200,300,1200,2000,2000
POST,/cart/checkout,2057,0,95,92.45174442296246,6.4811390002432745,1903.4772600007273,6562.360233349538,2.285695944976547,0.0,95,100,110,110,200,200,210,300,1400,1900,1900
GET,/product/0PUK6V6EV0,3148,0,35,56.57194748190041,4.104032001123414,1241.8338249990484,7738.225222363405,3.497992627509076,0.0,35,56,67,74,90,100,490,710,1000,1200,1200
GET,/product/1YMWWN1N4O,3076,0,34,52.71646970352083,4.241372000251431,1255.1130289994035,7759.027308192458,3.417987713538093,0.0,34,54,66,73,87,100,370,640,1000,1300,1300
GET,/product/2ZYFJ3GM2N,3049,0,34,55.427376722870854,4.271371000868385,1146.6031480013044,7755.267628730731,3.3879858707989747,0.0,34,55,67,75,90,100,430,670,960,1100,1100
GET,/product/66VCHSJNUP,3060,0,36,53.96469440132857,4.171414999291301,1258.760747999986,7722.71045751634,3.4002088437667637,0.0,36,56,66,73,89,100,360,600,900,1300,1300
GET,/product/6E92ZMYYFZ,3113,0,34,52.46270536460148,4.227481000270927,1131.8052090009587,7711.590106007067,3.4591013498842926,0.0,34,55,67,74,88,100,340,580,1100,1100,1100
GET,/product/9SIQT8TOJO,3033,0,33,55.3532094249987,4.303794001316419,1036.8051440000272,7764.27563468513,3.3702070010276453,0.0,33,54,66,74,90,100,460,660,990,1000,1000
GET,/product/L9ECAV7KIM,3089,0,32,51.899780784085884,4.279319000488613,1205.5423309993785,7729.453544836517,3.4324330452272984,0.0,32,54,67,73,88,100,380,580,1100,1200,1200
GET,/product/LS4PSXUNUM,3007,0,31,51.31832562521584,4.044216000693268,1049.9813959995663,7729.798137678749,3.3413163376492347,0.0,31,53,66,73,89,100,320,610,980,1000,1000
GET,/product/OLJCESPC7Z,3064,0,34,55.47039012403504,4.2074949997186195,1289.2874330009363,7761.167754569191,3.404653561209596,0.0,34,54,67,74,89,100,400,700,1200,1300,1300
POST,/setCurrency,4300,0,71,95.44521956953763,7.63258400002087,1255.5268720007007,10286.364418604651,4.778071251044799,0.0,71,94,110,130,180,210,530,730,1200,1300,1300
,Aggregated,49174,0,46,67.20225048330998,3.9130479999585077,2001.8754949996946,10182.451315735958,54.64113388345975,0.0,46,72,87,94,120,190,340,620,1100,1300,2000
